date,competition,opponent,home_away,goals_for,goals_against,points,season
2023-04-23T00:00:00+00:00,Serie A,Lecce,H,2,0,3,2022-23
2023-04-29T00:00:00+00:00,Serie A,Roma,A,1,1,1,2022-23
2023-05-03T00:00:00+00:00,Serie A,Cremonese,H,1,1,1,2022-23
2023-05-06T00:00:00+00:00,Serie A,Lazio,H,2,0,3,2022-23
2023-05-13T00:00:00+00:00,Serie A,Spezia,A,0,2,0,2022-23
2023-05-20T00:00:00+00:00,Serie A,Sampdoria,H,5,1,3,2022-23
2023-05-28T00:00:00+00:00,Serie A,Juventus,A,1,0,3,2022-23
2023-06-04T00:00:00+00:00,Serie A,Verona,H,3,1,3,2022-23
2023-08-21T00:00:00+00:00,Serie A,Bologna,A,2,0,3,2023-24
2023-08-26T00:00:00+00:00,Serie A,Torino,H,4,1,3,2023-24
2023-09-01T00:00:00+00:00,Serie A,Roma,A,2,1,3,2023-24
2023-09-16T00:00:00+00:00,Serie A,Inter,A,1,5,0,2023-24
2023-09-23T00:00:00+00:00,Serie A,Verona,H,1,0,3,2023-24
2023-09-27T00:00:00+00:00,Serie A,Cagliari,A,3,1,3,2023-24
2023-09-30T00:00:00+00:00,Serie A,Lazio,H,2,0,3,2023-24
2023-10-07T00:00:00+00:00,Serie A,Genoa,A,1,0,3,2023-24
2023-10-22T00:00:00+00:00,Serie A,Juventus,H,0,1,0,2023-24
2023-10-29T00:00:00+00:00,Serie A,Napoli,A,2,2,1,2023-24
2023-11-04T00:00:00+00:00,Serie A,Udinese,H,0,1,0,2023-24
2023-11-11T00:00:00+00:00,Serie A,Lecce,A,2,2,1,2023-24
2023-11-25T00:00:00+00:00,Serie A,Fiorentina,H,1,0,3,2023-24
2023-12-02T00:00:00+00:00,Serie A,Frosinone,H,3,1,3,2023-24
2023-12-09T00:00:00+00:00,Serie A,Atalanta,A,2,3,0,2023-24
2023-12-17T00:00:00+00:00,Serie A,Monza,H,3,0,3,2023-24
2023-12-22T00:00:00+00:00,Serie A,Salernitana,A,2,2,1,2023-24
2023-12-30T00:00:00+00:00,Serie A,Sassuolo,H,1,0,3,2023-24
2024-01-07T00:00:00+00:00,Serie A,Empoli,A,3,0,3,2023-24
2024-01-14T00:00:00+00:00,Serie A,Roma,H,3,1,3,2023-24
2024-01-20T00:00:00+00:00,Serie A,Udinese,A,3,2,3,2023-24
2024-01-27T00:00:00+00:00,Serie A,Bologna,H,2,2,1,2023-24
2024-02-03T00:00:00+00:00,Serie A,Frosinone,A,3,2,3,2023-24
2024-02-11T00:00:00+00:00,Serie A,Napoli,H,1,0,3,2023-24
2024-02-18T00:00:00+00:00,Serie A,Monza,A,2,4,0,2023-24
2024-02-25T00:00:00+00:00,Serie A,Atalanta,H,1,1,1,2023-24
2024-03-01T00:00:00+00:00,Serie A,Lazio,A,1,0,3,2023-24
2024-03-10T00:00:00+00:00,Serie A,Empoli,H,1,0,3,2023-24
2024-03-17T00:00:00+00:00,Serie A,Verona,A,3,1,3,2023-24
2024-03-30T00:00:00+00:00,Serie A,Fiorentina,A,2,1,3,2023-24
2024-04-06T00:00:00+00:00,Serie A,Lecce,H,3,0,3,2023-24
2024-04-14T00:00:00+00:00,Serie A,Sassuolo,A,3,3,1,2023-24
2024-04-22T00:00:00+00:00,Serie A,Inter,H,1,2,0,2023-24
2024-04-27T00:00:00+00:00,Serie A,Juventus,A,0,0,1,2023-24
2024-05-05T00:00:00+00:00,Serie A,Genoa,H,3,3,1,2023-24
2024-05-11T00:00:00+00:00,Serie A,Cagliari,H,5,1,3,2023-24
2024-05-18T00:00:00+00:00,Serie A,Torino,A,1,3,0,2023-24
2024-05-25T00:00:00+00:00,Serie A,Salernitana,H,3,3,1,2023-24
2024-08-17T00:00:00+00:00,Serie A,Torino,H,2,2,1,2024-25
2024-08-24T00:00:00+00:00,Serie A,Parma,A,1,2,0,2024-25
