direction,lag,F,p
sentiment->points,1,1.6574504122065004,0.19972926788126855
sentiment->points,2,1.4067930283898165,0.24786728504999395
sentiment->points,3,1.2379838148623334,0.29777777574106856
sentiment->points,4,1.204612900646294,0.31102888108885574
points->sentiment,1,0.07608213640510599,0.7830197357847642
points->sentiment,2,0.9517205171574811,0.38819795215115266
points->sentiment,3,0.49405435483943055,0.6869057907370004
points->sentiment,4,1.8884183776579262,0.11506057873637661
