executive,n,pearson_r,lag1_sentiment,lag1_points,n_eff,p_neff,p_hac
__all__,171,0.29567490092826354,0.632,-0.02,175.3,7.010460822006827e-05,2.285371039854609e-05
ibrahimovic,171,0.2601978286393849,0.39,-0.02,173.6,0.0005327564748965822,2.6138374313584617e-05
maldini,171,0.2471152075900214,0.458,-0.02,174.1,0.0010081256901845834,0.0001564428901112666
moncada,154,0.24796752720441173,0.358,0.063,147.2,0.0024404989884727305,0.0006915384329299615
massara,150,0.17419981668196613,0.173,-0.071,153.7,0.030867090270626445,0.04415507923204712
furlani,128,0.13408546664488571,0.277,0.019,126.7,0.13339747557084236,0.06290468119251465
gazidis,118,0.09970626080661278,0.126,-0.068,120.0,0.2785508570006005,0.2499978238421614
cardinale,141,0.042591287476007586,0.31,-0.008,141.7,0.6151217927277871,0.5929584965267191
