executive,n_weeks,pearson_r,pearson_p,spearman_r,spearman_p
__all__,171,0.29567490092826343,8.628271563900892e-05,0.28193542691367784,0.00018710711585317262
ibrahimovic,171,0.26019782863938484,0.0005882684365176374,0.2706570178696648,0.00034306497887634984
maldini,171,0.2471152075900214,0.0011202851729903594,0.25006194596763,0.0009718042897363216
moncada,154,0.24796752720441173,0.0019306403775250888,0.25445035551046724,0.001450033677184505
massara,150,0.17419981668196619,0.03300813650237194,0.17823361466648657,0.02909850940488908
furlani,128,0.13408546664488571,0.13131282979856274,0.08896490270373163,0.3179734720623295
gazidis,118,0.09970626080661282,0.2827164762554772,0.1518701475042964,0.10065056426261375
cardinale,141,0.04259128747600759,0.6160409260576369,0.05987501703135925,0.4806355609321112
